AÑO,No.,VALOR ADICIONAL,VALOR TOTAL,OBJETO,MUNICIPIO,ESTADO,FECHA INICIO,FECHA TERMINACION,% AVANCE OBRA,% EJECUCION $$$$
2010,2124,"ADIC 1:2.076.909.855,42
ADIC 2: 822.625.359,07","$ 8,698,605,672.33",REHABILITACION DE LA VIA BUCARAMANGA - MATANZA SECTOR LA VIRGEN - BOSCONIA DEL K0+000 AL K5+556 DEL MUNICIPIO DE  BUCARAMANGA - DEPARTAMENTO DE SANTANDER ',BUCARAMANGA,LIQUIDADO,2011-05-19T00:00:00.000,2012-12-01T00:00:00.000,100.00%,"91,1%
ACTA 15"
2011,261,"ADIC 1: 158.372.480,00
ADIC 2: 69.999.040,00
ADIC 3: 69.999.040,00","$ 609,315,520.00","INTERVENTORIA, REHBILITACION DE LA VIA BUCARAMANGA - MATANZA, SECTOR  LA VIRGEN - BOSCONIA, DEPARTAMENTO DE SANTANDER"".'",BUCARAMANGA,LIQUIDADO,2011-05-19T00:00:00.000,2012-12-06T00:00:00.000,100.00%,100.00%
2011,438,"$ 68,663,462.00","$ 320,856,742.00","INTERVENTORIA, CONSTRUCCION ALCANTARILLADO CASCO URBANO MUNICIPIO DE CONTRATACION, DEPARTAMENTO DE SANTANDER",CONTRATACION,LIQUIDADO,2011-06-16T00:00:00.000,2013-08-03T00:00:00.000,100.00%,"94,93%
ACTA 11"
2011,443,"$ 44,905,502.40","$ 204,123,251.20","INTERVENTORIA. OPITIMIZACION DEL SISTEMA DE ACUEDUCTO EN EL SECTOR CENTRO, DEL CASCO URBANO DEL MUNICIPIO DE PIEDECUESTA, DEPARTAMENTO DE SANTANDER.",PIEDECUESTA,LIQUIDADO,2011-06-10T00:00:00.000,2012-11-30T00:00:00.000,100.00%,100.00%
2011,482,"$ 1,118,097,944.71","$ 3,354,295,356.00",CONSTRUCCION PUENTE EN EL AREA DE INFLUENCIA DEL MUNICIPIO DE CIMITARRA SANTANDER',CIMITARRA,LIQUIDADO,2011-06-15T00:00:00.000,2014-12-29T00:00:00.000,100.00%,"100%
ACTA FINAL"
2011,492,"$ 647,021,572.00","$ 2,318,501,312.00",AMPLIACION DEL SISTEMA DE ALCANTARILLADO SANITARIO SECTOR NOR-OCCIDENTAL FASE I DEL MUNICIPIO DE PIEDECUESTA SANTANDER.,PIEDECUESTA,LIQUIDADO,2011-08-25T00:00:00.000,2013-04-02T00:00:00.000,100.00%,99.50%
2011,533,"$ 268,361,375.40","$ 851,216,450.40","""CONSTRUCCION HUELLAS VEHICULARES VEREDA EL RINCON, MUNICIPIO DE SOCORRO- DEPARTAMENTO DE SANTANDER"". '",SOCORRO,LIQUIDADO,2011-07-29T00:00:00.000,2012-12-30T00:00:00.000,100.00%,100.00%
2011,652,"$ 439,898,981.09","$ 1,790,974,916.26","AMPLIACION RED DE DISTRIBUCION SECTOR BAJO BARRIOS RAGONESSY, VERGEL, MARIA AUXILIADORA, SAN ANTONIO Y CENTRO ACUEDUCTO MUNICIPAL, SAN GIL, SANTANDER",SAN GIL,LIQUIDADO,2011-06-13T00:00:00.000,2013-05-12T00:00:00.000,100.00%,100.00%
2011,732,$ 0.00,$ 0.00,"ES AUNAR ESFUERZOS ENTRE LAS PARTES PARA LA EJECUCION DEL PROYECTO PARA LA CONSTRUCCION DEL NUEVO ESTADIO DANIEL VILLA ZAPATA DEL MUNICIPIO DE BARRANCABERMEJA, DEPARTAMENTO DE SANTANDER",BARRANCABERMEJA,LIQUIDADO,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,0.00%,0.00%
2011,1043,$ 0.00,"$ 50,228,694.00",MANTENIMIENTO DEL PAVIMENTO RIGIDO DE LA CRA 16A ENTRE CALLES 3A-4 DEL BARRIO SANTA ANA DEL MUNICIPIO DE FLORIDABLANCA,FLORIDABLANCA,LIQUIDADO,2011-09-05T00:00:00.000,2012-12-30T00:00:00.000,0.00%,50.00%
2011,1047,$ 0.00,"$ 807,778,608.00",CONSTRUCCION COLISEO CUBIERTO MUNICIPIO DE SUCRE SANTANDER,SUCRE,LIQUIDADO,2011-08-23T00:00:00.000,2012-06-22T00:00:00.000,96.26%,"96,26%
ACTA FINAL"
2011,1113,$ 0.00,"$ 173,054,079.00",EL IDESAN SE COMPROMETE A ADMINISTRAR Y REALIZAR LOS PAGOS QUE SE GENEREN EN DESARROLLO DEL PROYECTO:  MASIFICACION DEL GAS LICUADO DEL PETROLEO GLP PARA EL SECTOR DE LA LINEA EN EL MUNICIPIO DE PUERTO WILCHES. SANTANDER.,PUERTO WILCHES,LIQUIDADO,2012-07-27T00:00:00.000,2012-07-26T00:00:00.000,100.00%,50.00%
2011,1140,$ 0.00,"$ 1,371,701,133.00","IDESAN SE COMPROMETE A ADMINISTRAR Y REALIZAR LOS PAGOS QUE SE GENEREN EN DESARROLLO DEL PROYECTO DENOMINADO MASIFICACION DE GAS GLP POR REDES PARA LOS MUNICIPIOS DE CONTRATACION, GUADALUPE, SANTA BARBARA Y OIBA,  SANTANDER",GUADALUPE SANTA BARBARA - CONTRATACION - OIBA,LIQUIDADO,2011-08-18T00:00:00.000,2012-08-17T00:00:00.000,100.00%,100.00%
2011,1145,"$ 463,473,776.48","$ 1,591,528,376.48",CONSTRUCCION PUENTE VEHICULAR SOBRE EL RIO SUCIO DE LOS MUNICIPIOS DE GIRÓN Y SABANA DE TORRES,GIRON Y SABANA DE TORRES,LIQUIDADO,2011-09-30T00:00:00.000,2015-01-15T00:00:00.000,100.00%,"100%
ACTA FINAL"
2011,1149,"$ 45,863,754.00","$ 219,338,258.00",CONSTRUCCION CANCHA POLIDEPORTIVO Y PARQUE INFANTIL DEL CORREGIMIENTO KILOMETRO 8 MUNICIPIO DE PUERTO WILCHES DEPARTAMENTO DE SANTANDER,PUERTO WILCHES,LIQUIDADO,2011-09-07T00:00:00.000,2014-04-05T00:00:00.000,100.00%,99.00%
2011,1155,"$ 113,461,509.43","$ 413,440,135.93",MANTENIMIENTO RUTINARIO Y PERIODICO DE LAS VIAS SECUNDARIAS DEL DEPARTAMETNO DE SANTANDER (TOPE - SANTABARBARA),SANTA BARBARA,LIQUIDADO,2011-09-16T00:00:00.000,2013-06-05T00:00:00.000,100.00%,100.00%
2011,1160,"$ 107,000,000.00","$ 480,771,180.40",REPARACION DEL PUENTE VEHICULAR SOBRE LA VIA A LA VEREDA TOLOTA MUNICIPIO DE SUAITA.,SUAITA,LIQUIDADO,2011-11-24T00:00:00.000,2013-01-07T00:00:00.000,100.00%,100.00%
2011,1161,"$ 369,855,179.41","$ 1,253,634,745.59",CONSTRUCCION COLISEO CUBIERTO PUENTE GRANDE SECTOR URBANO EN EL MUNICIPIO DE BARICHARA DEPARTAMENTO DE SANTANDER,BARICHARA,LIQUIDADO,2011-09-12T00:00:00.000,2013-03-06T00:00:00.000,100.00%,100.00%
2011,1162,"$ 446,254,312.00","$ 2,146,254,312.00","CONSTRUCCION PRESA EN TIERRA PARA LA AMPLIACION DE LA CAPACIDAD DE ALMACENAMIENTO DE LA PRESA DE LA PAMPA, MUNICIPIO DE VILLANUEVA, DEPARTAMENTO DE SANTANDER",VILLANUEVA,LIQUIDADO,2011-12-05T00:00:00.000,2013-10-01T00:00:00.000,100.00%,100.00%
2011,1190,"$ 73,790,895.10","$ 220,790,864.10",MANTENIMIENTO RUTINARIO Y PERIODICO DE LAS VIAS SECUNDARIAS DEL DEPARTAMETNO DE SANTANDER (VIA TRONCAL CENTRAL-GUEPSA).,GUEPSA,LIQUIDADO,2011-11-11T00:00:00.000,2013-10-30T00:00:00.000,100.00%,100.00%
2011,1254,$ 0.00,"$ 1,841,282,808.00","ADMINISTRAR Y REALIZAR LOS PAGOS QUE SE GENEREN EN DESARROLLO DEL PROYECTO DENOMINADO MASIFICACION DE GAS NATURAL Y GLP POR REDES PARA LOS MUNICIPIOS DE CHIPATA, JESUS MARIA, ONZAGA, CERRITO, CONCEPCION, SAN JOSE DE MIRANDA, PALMAS DEL SOCORRO, MOLAGAVITA SANTANDER",CHIPATA - JESUS MARIA - ONZAGA - CERRITO - CONCEPCION - SAN JOSE DE MIRANDA - PALMAS DEL SOCORRO - MOLAGAVITA,LIQUIDADO,2011-07-27T00:00:00.000,2012-07-27T00:00:00.000,100.00%,100.00%
2011,1256,$ 0.00,"$ 1,414,611,185.00","ADMINISTRAR Y REALIZAR LOS PAGOS QUE SE GENEREN EN DESARROLLO DEL PROYECTO DENOMINADO MASIFICACION DE GAS NATURAL Y GLP POR REDES PARA LOS MUNICIPIOS DE SOCORRO, VELEZ, CHARALA Y SAN GIL DEPARTAMENTO DE SANTANDER",SOCORRO - VELEZ - CHARALA - SAN GIL,LIQUIDADO,2011-08-19T00:00:00.000,2012-08-18T00:00:00.000,100.00%,100.00%
2011,1257,$ 0.00,"$ 2,103,672,523.00","CONSTRUCCION ACUEDUCTO ALTO DEL POZO, MUNICIPIO DE VALLE DE SAN JOSE DEPARTAMENTO DE SANTANDER",VALLE DE SAN JOSE,LIQUIDADO,2011-11-11T00:00:00.000,2022-05-04T00:00:00.000,100.00%,"90,48%
ACTA 4"
2011,1271,$ 0.00,"$ 9,566,834,613.12","CONSTRUCCION DE REDES DE MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS DE SANTANDER FASE V",DEPARTAMENTO,LIQUIDADO,2011-09-02T00:00:00.000,2013-08-01T00:00:00.000,100.00%,100.00%
2011,1282,$ 0.00,"$ 2,289,821,125.00","CONSTRUCCIÓN REDES DE DISTRIBUCIÓN Y TANQUE DE ALMACENAMIENTO ACUEDUCTO DE LAS VEREDAS LA COLINA, LA ESPERANZA Y BUENOS AIRES DE LA MESA DE RUITOQUE DEL MUNICIPIO DE PIEDECUESTA, DEPARTAMENTO DE SANTANDER",PIEDECUESTA,CEDIDO,2011-07-15T00:00:00.000,2013-10-22T00:00:00.000,86.00%,0.00%
2011,1323,"$ 255,849,600.38","$ 1,110,598,483.46",MANTENIMIENTO Y ADECUACION DE LA PLAZA DE MERCADO DEL MUNICIPIO DE SAN VICENTE DE CHUCURI-SANTANDER,SAN VICENTE DE CHUCURI,LIQUIDADO,2012-03-12T00:00:00.000,2014-07-30T00:00:00.000,100.00%,100.00%
2011,1324,$ 0.00,"$ 199,701,616.20","CONSTRUCCION PLACA HUELLAS VEHICULARES VEREDA EL PLATANAL MUNICIPIO DE GUEPSA, SANTANDER",GUEPSA,LIQUIDADO,2011-11-03T00:00:00.000,2012-07-02T00:00:00.000,100.00%,"90%
ACTA 1"
2011,1326,"$ 189,149,473.00","$ 539,125,109.00",CONSTRUCCION COLISEO POLIDEPORTIVO LOS POZOS MUNICIPIO DE GUACA SANTANDER,GUACA,LIQUIDADO,2011-11-25T00:00:00.000,2014-05-24T00:00:00.000,10000.00%,"100%
ACTA FINAL"
2011,1339,$ 0.00,"$ 657,199,426.00","CONSTRUCCION E INTERVENTORIA DE REDES DE MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS SAN ANTONIO Y SAN ISIDRO DEL MUNICIPIO DE EL PLAYON SANTANDER",EL PLAYON,LIQUIDADO,2011-12-23T00:00:00.000,2013-11-22T00:00:00.000,100.00%,"100%
ACTA FINAL"
2011,1341,$ 0.00,"$ 677,890,675.90",CONSTRUCCION SISTEMA PRINCIPAL DE TRATAMIENTO DE AGUAS RESIDUALES MUNICIPIO DE CERRITO SANTANDER,CERRITO,LIQUIDADO,2012-11-30T00:00:00.000,2015-05-05T00:00:00.000,100.00%,100.00%
2011,1350,"$ 233,999,999.00","$ 783,049,603.00",CONSTRUCCION ACUEDUCTO VEREDA EL GRANADILLO DEL MUNICIPIO DE PIEDECUESTA DEPARTAMENTO DE SANTANDER,PIEDECUESTA,LIQUIDADO,2011-10-10T00:00:00.000,2013-03-14T00:00:00.000,100.00%,100.00%
